11188
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Douzième extrait>,<>,<>
marchant,marcher,13
pour,pour,81
ainsi,ainsi,60
dire,dire,14
au-devant,au-devant,60
de,de,81
mon,mon,73
destin,destin,21
",",",",p
et,et,82
voulant,vouloir,13
apercevoir,apercevoir,14
l',le,71
étoile,étoile,22
jusqu',jusque,81
au,à,81
au,le,71
moment,moment,21
où,où,60
la,le,71
mort,mort,22
devait,devoir,18
me,je,51
frapper,frapper,14
/.,/.,P
arrivé,arrivé,31
cependant,cependant,82
au,à,81
au,le,71
confluent,confluent,21
de,de,81
trois,trois,72
rues,rue,22
",",",",p
je,je,51
ne,ne,60
voulus,vouloir,19
pas,pas,60
aller,aller,14
plus,plus,60
loin,loin,60
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
mon,mon,73
ami,ami,21
déployait,déployer,18
une,un,71
force,force,22
surhumaine,surhumain,30
pour,pour,81
me,je,51
faire,faire,14
changer,changer,14
de,de,81
place,place,22
;,;,p
il,il,51
grandissait,grandir,18
à,à,81
mes,mon,73
yeux,oeil,21
et,et,82
prenait,prendre,18
les,le,71
traits,trait,21
d',de,81
un,un,71
apôtre,apôtre,21
/.,/.,P
je,je,51
croyais,croire,18
voir,voir,14
le,le,71
lieu,lieu,21
où,où,60
nous,nous,51
étions,être,18
",",",",p
s',se,51
élever,élever,14
",",",",p
et,et,82
perdre,perdre,14
les,le,71
formes,forme,22
qui,qui,52
lui,lui,51
donnait,donner,18
sa,son,73
configuration,configuration,22
urbaine,urbain,30
;,;,p
sur,sur,81
une,un,71
colline,colline,22
",",",",p
entourée,entouré,31
de,de,81
vastes,vaste,30
solitudes,solitude,22
",",",",p
cette,ce,74
scène,scène,22
devenait,devenir,18
le,le,71
combat,combat,21
de,de,81
deux,deux,72
esprits,esprit,21
et,et,82
comme,comme,83
une,un,71
tentation,tentation,22
biblique,biblique,30
/.,/.,P
“,“,p
non,non,60
!,!,p
disais,dire,18
je,je,51
",",",",p
je,je,51
n',ne,60
appartiens,appartenir,17
pas,pas,60
à,à,81
ton,ton,73
ciel,ciel,21
/.,/.,P
dans,dans,81
cette,ce,74
étoile,étoile,22
sont,être,17
ceux,celui,52
qui,qui,52
m',je,51
attendent,attendre,17
/.,/.,P
ils,ils,51
sont,être,17
antérieurs,antérieur,30
à,à,81
la,le,71
révélation,révélation,22
que,que,52
tu,tu,51
as,avoir,17
annoncée,annoncer,12
/.,/.,P
laisse,laisser,17
moi,moi,51
les,le,52
rejoindre,rejoindre,14
",",",",p
car,car,82
celle,celui,52
que,que,52
j',je,51
aime,aimer,17
leur,leur,52
appartient,appartenir,17
",",",",p
et,et,82
c',ce,52
est,être,17
là,là,60
que,que,83
nous,nous,51
devons,devoir,17
nous,nous,51
retrouver,retrouver,14
/!,/!,P
<Page 11  *Partie I *Chapitre 3>,<>,<>
ici,ici,60
a,avoir,17
commencé,commencer,12
pour,pour,81
moi,moi,51
ce,ce,52
que,que,52
j',je,51
appellerai,appeler,15
l',le,71
épanchement,épanchement,21
du,de,81
du,le,71
songe,songe,21
dans,dans,81
la,le,71
vie,vie,22
réelle,réel,30
/.,/.,P
à,à,81
dater,dater,14
de,de,81
ce,ce,74
moment,moment,21
",",",",p
tout,tout,52
prenait,prendre,18
parfois,parfois,60
un,un,71
aspect,aspect,21
double,double,30
",",",",p
et,et,82
cela,cela,52
",",",",p
sans,sans,81
que,que,83
le,le,71
raisonnement,raisonnement,21
manquât,manquer,18
jamais,jamais,60
de,de,81
logique,logique,22
",",",",p
sans,sans,81
que,que,83
la,le,71
mémoire,mémoire,22
perdît,perdre,18
les,le,71
plus,plus,60
légers,léger,30
détails,détail,21
de,de,81
ce,ce,52
qui,qui,52
m',je,51
arrivait,arriver,18
/.,/.,P
seulement,seulement,60
",",",",p
mes,mon,73
actions,action,22
",",",",p
insensées,insensé,30
en,en,81
apparence,apparence,22
",",",",p
étaient,être,18
soumises,soumettre,12
à,à,81
ce,ce,52
que,que,52
l',l',94
on,on,51
appelle,appeler,17
illusion,illusion,22
",",",",p
selon,selon,81
la,le,71
raison,raison,22
humaine,humain,30
/…,/…,P
cette,ce,74
idée,idée,22
m',je,51
est,être,17
revenue,revenir,12
bien,bien,60
des,de,81
des,le,71
fois,fois,22
",",",",p
que,que,83
",",",",p
dans,dans,81
certains,certain,75
moments,moment,21
graves,grave,30
de,de,81
la,le,71
vie,vie,22
",",",",p
tel,tel,75
esprit,esprit,21
du,de,81
du,le,71
monde,monde,21
antérieur,antérieur,30
s',se,51
incarnait,incarner,18
tout,tout,60
à,à,81
coup,coup,21
en,en,81
la,le,71
forme,forme,22
d',de,81
une,un,71
personne,personne,22
ordinaire,ordinaire,30
",",",",p
et,et,82
agissait,agir,18
ou,ou,82
tentait,tenter,18
d',de,81
agir,agir,14
sur,sur,81
nous,nous,51
",",",",p
sans,sans,81
que,que,83
cette,ce,74
personne,personne,22
en,en,52
eut,avoir,19
la,le,71
connaissance,connaissance,22
ou,ou,82
en,en,52
gardât,garder,18
le,le,71
souvenir,souvenir,21
/.,/.,P
mon,mon,73
ami,ami,21
m',je,51
avait,avoir,18
quitté,quitter,12
",",",",p
voyant,voir,13
ses,son,73
efforts,effort,21
inutiles,inutile,30
",",",",p
et,et,82
me,je,51
croyant,croire,13
sans,sans,81
doute,doute,21
en,en,81
proie,proie,22
à,à,81
quelque,quelque,75
idée,idée,22
fixe,fixe,30
que,que,52
la,le,71
marche,marche,22
calmerait,calmer,16
/.,/.,P
me,je,51
trouvant,trouver,13
seul,seul,30
",",",",p
je,je,51
me,je,51
levai,lever,19
avec,avec,81
effort,effort,21
et,et,82
me,je,51
remis,remettre,19
en,en,81
route,route,22
dans,dans,81
la,le,71
direction,direction,22
de,de,81
l',le,71
étoile,étoile,22
sur,sur,81
laquelle,lequel,52
je,je,51
ne,ne,60
cessais,cesser,18
de,de,81
fixer,fixer,14
les,le,71
yeux,oeil,21
/.,/.,P
je,je,51
chantais,chanter,18
en,en,81
marchant,marcher,13
un,un,71
hymne,hymne,21
mystérieux,mystérieux,30
dont,dont,52
je,je,51
croyais,croire,18
me,je,51
souvenir,souvenir,14
comme,comme,83
l',le,52
ayant,avoir,13
entendu,entendre,12
dans,dans,81
quelque,quelque,75
autre,autre,75
existence,existence,22
",",",",p
et,et,82
qui,qui,52
me,je,51
remplissait,remplir,18
d',de,81
une,un,71
joie,joie,22
ineffable,ineffable,30
/.,/.,P
en,en,81
même,même,75
temps,temps,21
",",",",p
je,je,51
quittais,quitter,18
mes,mon,73
habits,habit,21
terrestres,terrestre,30
et,et,82
je,je,51
les,le,52
dispersais,disperser,18
autour,autour,60
de,de,81
moi,moi,51
/.,/.,P
la,le,71
route,route,22
semblait,sembler,18
s',se,51
élever,élever,14
toujours,toujours,60
et,et,82
l',le,71
étoile,étoile,22
s',se,51
agrandir,agrandir,14
/.,/.,P
puis,puis,60
je,je,51
restai,rester,19
les,le,71
bras,bras,21
étendus,étendu,31
",",",",p
attendant,attendre,13
le,le,71
moment,moment,21
où,où,60
l',le,71
âme,âme,22
allait,aller,18
se,se,51
séparer,séparer,14
du,de,81
du,le,71
corps,corps,21
",",",",p
attirée,attiré,31
magnétiquement,magnétiquement,60
dans,dans,81
le,le,71
rayon,rayon,21
de,de,81
l',le,71
étoile,étoile,22
/.,/.,P
alors,alors,60
je,je,51
sentis,sentir,19
un,un,71
frisson,frisson,21
;,;,p
le,le,71
regret,regret,21
de,de,81
la,le,71
terre,terre,22
et,et,82
de,de,81
ceux,celui,52
que,que,52
j',je,51
y,y,52
aimais,aimer,18
me,je,51
saisit,saisir,19
le,le,71
coeur,coeur,21
",",",",p
et,et,82
je,je,51
suppliai,supplier,19
si,si,60
ardemment,ardemment,60
en,en,81
moi-même,moi-même,51
l',le,71
esprit,esprit,21
qui,qui,52
m',je,51
attirait,attirer,18
à,à,81
lui,lui,51
",",",",p
qu',que,83
il,il,51
me,je,51
sembla,sembler,19
que,que,83
je,je,51
redescendais,redescendre,18
parmi,parmi,81
les,le,71
hommes,homme,21
/.,/.,P
une,un,71
ronde,ronde,22
de,de,81
nuit,nuit,22
m',je,51
entourait,entourer,18
;,;,p
-,-,p
j',je,51
avais,avoir,18
alors,alors,60
l',le,71
idée,idée,22
que,que,83
j',je,51
étais,être,18
devenu,devenir,12
très,très,60
grand,grand,30
",",",",p
-,-,p
et,et,82
que,que,83
",",",",p
tout,tout,60
inondé,inondé,31
de,de,81
forces,force,22
électriques,électrique,30
",",",",p
j',je,51
allais,aller,18
renverser,renverser,14
tout,tout,52
ce,ce,52
qui,qui,52
m',je,51
approchait,approcher,18
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
quelque,quelque,75
chose,chose,22
de,de,81
comique,comique,30
dans,dans,81
le,le,71
soin,soin,21
que,que,52
je,je,51
prenais,prendre,18
de,de,81
ménager,ménager,14
mes,mon,73
forces,force,22
et,et,82
la,le,71
vie,vie,22
des,de,81
des,le,71
soldats,soldat,21
qui,qui,52
m',je,51
avaient,avoir,18
recueilli,recueillir,12
/.,/.,P
si,si,83
je,je,51
ne,ne,60
pensais,penser,18
que,que,83
la,le,71
mission,mission,22
d',de,81
un,un,71
écrivain,écrivain,21
est,être,17
d',de,81
analyser,analyser,14
sincèrement,sincèrement,60
ce,ce,52
que,que,52
il,il,51
éprouve,éprouver,17
dans,dans,81
les,le,71
graves,grave,30
circonstances,circonstance,22
de,de,81
la,le,71
vie,vie,22
",",",",p
et,et,82
si,si,83
je,je,51
ne,ne,60
me,je,51
proposais,proposer,18
un,un,71
but,but,21
que,que,52
je,je,51
crois,croire,17
utile,utile,30
",",",",p
je,je,51
m',je,51
arrêterais,arrêter,16
ici,ici,60
",",",",p
et,et,82
je,je,51
n',ne,60
essayerais,essayer,16
pas,pas,60
de,de,81
décrire,décrire,14
ce,ce,52
que,que,52
j',je,51
éprouvai,éprouver,19
ensuite,ensuite,60
dans,dans,81
une,un,71
série,série,22
de,de,81
visions,vision,22
insensées,insensé,30
peut-être,peut-être,60
",",",",p
ou,ou,82
vulgairement,vulgairement,60
maladives,maladif,30
/…,/…,P
étendu,étendu,31
sur,sur,81
un,un,71
lit,lit,21
de,de,81
camp,camp,21
",",",",p
je,je,51
crus,croire,19
voir,voir,14
le,le,71
ciel,ciel,21
se,se,51
dévoiler,dévoiler,14
et,et,82
s',se,51
ouvrir,ouvrir,14
en,en,81
mille,mille,72
aspects,aspect,21
de,de,81
magnificences,magnificence,22
inouïes,inouï,30
/.,/.,P
le,le,71
destin,destin,21
de,de,81
l',le,71
âme,âme,22
délivrée,délivré,31
semblait,sembler,18
se,se,51
révéler,révéler,14
à,à,81
moi,moi,51
comme,comme,83
pour,pour,81
me,je,51
donner,donner,14
le,le,71
regret,regret,21
d',de,81
avoir,avoir,14
voulu,vouloir,12
reprendre,reprendre,14
pied,pied,21
de,de,81
toutes,tout,75
les,le,71
forces,force,22
de,de,81
mon,mon,73
esprit,esprit,21
sur,sur,81
la,le,71
terre,terre,22
que,que,52
j',je,51
allais,aller,18
quitter,quitter,14
/…,/…,P
d',de,81
immenses,immense,30
cercles,cercle,21
se,se,51
traçaient,tracer,18
dans,dans,81
l',le,71
infini,infini,21
",",",",p
comme,comme,83
les,le,71
orbes,orbe,21
que,que,52
forme,former,17
l',le,71
eau,eau,22
troublée,troublé,31
par,par,81
la,le,71
chute,chute,22
d',de,81
un,un,71
corps,corps,21
;,;,p
chaque,chaque,75
région,région,22
",",",",p
peuplée,peuplé,31
de,de,81
figures,figure,22
radieuses,radieux,30
",",",",p
se,se,51
colorait,colorer,18
",",",",p
se,se,51
mouvait,mouvoir,18
et,et,82
se,se,51
fondait,fonder,18
tour,tour,21
à,à,81
tour,tour,21
",",",",p
et,et,82
une,un,71
divinité,divinité,22
",",",",p
toujours,toujours,60
la,le,71
même,même,52
",",",",p
rejetait,rejeter,18
en,en,81
souriant,sourire,13
les,le,71
masques,masque,21
furtifs,furtif,30
de,de,81
ses,son,73
diverses,divers,30
incarnations,incarnation,22
",",",",p
et,et,82
se,se,51
réfugiât,réfugier,18
enfin,enfin,60
",",",",p
insaisissable,insaisissable,30
",",",",p
dans,dans,81
les,le,71
mystiques,mystique,30
splendeurs,splendeur,22
du,de,81
du,le,71
ciel,ciel,21
d',de,81
Asie,Asie,20
/.,/.,P
cette,ce,74
vision,vision,22
céleste,céleste,30
",",",",p
par,par,81
un,un,52
de,de,81
ces,ce,74
phénomènes,phénomène,21
que,que,52
tout,tout,75
le,le,71
monde,monde,21
à,à,81
pu,pu,31
éprouver,éprouver,14
dans,dans,81
certains,certain,75
rêves,rêve,21
",",",",p
ne,ne,60
me,je,51
laissait,laisser,18
pas,pas,60
étranger,étranger,30
à,à,81
ce,ce,52
qui,qui,52
se,se,51
passait,passer,18
autour,autour,60
de,de,81
moi,moi,51
/.,/.,P
couché,couché,31
sur,sur,81
un,un,71
lit,lit,21
de,de,81
camp,camp,21
",",",",p
j',je,51
entendais,entendre,18
que,que,83
les,le,71
soldats,soldat,21
s',se,51
entretenaient,entretenir,18
d',de,81
un,un,71
inconnu,inconnu,21
arrêté,arrêté,31
comme,comme,83
moi,moi,51
et,et,82
dont,dont,52
la,le,71
voix,voix,22
avait,avoir,18
retenti,retentir,12
dans,dans,81
la,le,71
même,même,75
salle,salle,22
/.,/.,P
par,par,81
un,un,71
singulier,singulier,30
effet,effet,21
de,de,81
vibration,vibration,22
",",",",p
il,il,51
me,je,51
semblait,sembler,18
que,que,83
cette,ce,74
voix,voix,22
résonnait,résonner,18
dans,dans,81
ma,mon,73
poitrine,poitrine,22
et,et,82
que,que,83
mon,mon,73
âme,âme,22
se,se,51
dédoublait,dédoubler,18
pour,pour,81
ainsi,ainsi,60
dire,dire,14
",",",",p
-,-,p
distinctement,distinctement,60
partagée,partagé,31
entre,entre,81
la,le,71
vision,vision,22
et,et,82
la,le,71
réalité,réalité,22
/.,/.,P
un,un,71
instant,instant,21
",",",",p
j',je,51
eus,avoir,19
l',le,71
idée,idée,22
de,de,81
me,je,51
retourner,retourner,14
avec,avec,81
effort,effort,21
vers,vers,81
celui,celui,52
dont,dont,52
il,il,51
était,être,18
question,question,22
",",",",p
puis,puis,60
je,je,51
frémis,frémir,19
en,en,81
me,je,51
rappelant,rappeler,13
une,un,71
tradition,tradition,22
bien,bien,60
connue,connu,31
en,en,81
Allemagne,Allemagne,20
",",",",p
qui,qui,52
dit,dire,17
que,que,83
chaque,chaque,75
homme,homme,21
à,à,81
un,un,71
double,double,21
",",",",p
et,et,82
que,que,83
",",",",p
lorsqu',lorsque,83
il,il,51
le,le,52
voit,voir,17
",",",",p
la,le,71
mort,mort,22
est,être,17
proche,proche,30
/.,/.,P
-,-,p
je,je,51
fermai,fermer,19
les,le,71
yeux,oeil,21
et,et,82
j',je,51
entrai,entrer,19
dans,dans,81
un,un,71
état,état,21
d',de,81
esprit,esprit,21
confus,confus,30
où,où,60
les,le,71
figures,figure,22
fantasques,fantasque,30
ou,ou,82
réelles,réel,30
qui,qui,52
m',je,51
entouraient,entourer,18
se,se,51
brisaient,briser,18
en,en,81
mille,mille,72
apparences,apparence,22
fugitives,fugitif,30
/.,/.,P
un,un,71
instant,instant,21
",",",",p
je,je,51
vis,vivre,17
près,près,81
de,de,81
moi,moi,51
deux,deux,72
de,de,81
mes,mon,73
amis,ami,21
qui,qui,52
me,je,51
réclamaient,réclamer,18
",",",",p
les,le,71
soldats,soldat,21
me,je,51
désignèrent,désigner,19
;,;,p
puis,puis,60
la,le,71
porte,porte,22
s',se,51
ouvrit,ouvrir,19
",",",",p
et,et,82
quelqu'un,quelqu'un,52
de,de,81
ma,mon,73
taille,taille,22
",",",",p
dont,dont,52
je,je,51
ne,ne,60
voyais,voir,18
pas,pas,60
la,le,71
figure,figure,22
",",",",p
sortit,sortir,19
avec,avec,81
mes,mon,73
amis,ami,21
que,que,52
je,je,51
rappelais,rappeler,18
en,en,81
vain,vain,30
/.,/.,P
“,“,p
mais,mais,82
on,on,51
se,se,51
trompe,tromper,17
!,!,p
m',je,51
écriai,écrier,19
je,je,51
",",",",p
c',ce,52
est,être,17
moi,moi,51
qu',que,52
ils,ils,51
sont,être,17
venus,venir,12
chercher,chercher,14
et,et,82
c',ce,52
est,être,17
un,un,71
autre,autre,52
qui,qui,52
sort,sortir,17
/!,/!,P
je,je,51
fis,faire,19
tant,tant,60
de,de,81
bruit,bruit,21
que,que,83
l',l',94
on,on,51
me,je,51
mit,mettre,19
au,à,81
au,le,71
cachot,cachot,21
/.,/.,P
j',je,51
y,y,52
restai,rester,19
plusieurs,plusieurs,75
heures,heure,22
dans,dans,81
une,un,71
sorte,sorte,22
d',de,81
abrutissement,abrutissement,21
;,;,p
enfin,enfin,60
",",",",p
les,le,71
deux,deux,72
amis,ami,21
que,que,52
j',je,51
avais,avoir,18
cru,croire,12
voir,voir,14
déjà,déjà,60
vinrent,venir,19
me,je,51
chercher,chercher,14
avec,avec,81
une,un,71
voiture,voiture,22
/.,/.,P
je,je,51
leur,leur,52
racontai,raconter,19
tout,tout,52
ce,ce,52
qui,qui,52
s',se,51
était,être,18
passé,passer,12
",",",",p
mais,mais,82
ils,ils,51
nièrent,nier,19
être,être,14
venus,venir,12
dans,dans,81
la,le,71
nuit,nuit,22
/.,/.,P
je,je,51
dînai,dîner,19
avec,avec,81
eux,ils,51
assez,assez,60
tranquillement,tranquillement,60
",",",",p
mais,mais,82
",",",",p
à,à,81
mesure,mesure,22
que,que,83
la,le,71
nuit,nuit,22
approchait,approcher,18
",",",",p
il,il,51
me,je,51
sembla,sembler,19
que,que,83
j',je,51
avais,avoir,18
à,à,81
redouter,redouter,14
l',le,71
heure,heure,22
fatale,fatal,30
/.,/.,P
je,je,51
demandai,demander,19
à,à,81
l',le,71
un,un,52
d',de,81
eux,ils,51
une,un,71
bague,bague,22
orientale,oriental,30
qu',que,52
il,il,51
avait,avoir,18
au,à,81
au,le,71
doigt,doigt,21
et,et,82
que,que,52
je,je,51
regardais,regarder,18
comme,comme,83
un,un,71
ancien,ancien,30
talisman,talisman,21
",",",",p
et,et,82
",",",",p
prenant,prendre,13
un,un,71
foulard,foulard,21
",",",",p
je,je,51
la,le,52
nouai,nouer,19
autour,autour,60
de,de,81
mon,mon,73
col,col,21
;,;,p
où,où,60
je,je,51
sentais,sentir,18
une,un,71
douleur,douleur,22
/.,/.,P
selon,selon,81
moi,moi,51
",",",",p
ce,ce,74
point,point,21
était,être,18
celui,celui,52
où,où,60
l',le,71
âme,âme,22
risquerait,risquer,16
de,de,81
sortir,sortir,14
au,à,81
au,le,71
moment,moment,21
où,où,60
un,un,71
certain,certain,75
rayon,rayon,21
",",",",p
parti,parti,31
de,de,81
l',le,71
étoile,étoile,22
que,que,52
j',je,51
avais,avoir,18
vu,voir,12
la,le,71
veille,veille,22
",",",",p
coïnciderait,coïncider,16
relativement,relativement,60
à,à,81
moi,moi,51
avec,avec,81
le,le,71
zénith,zénith,21
/.,/.,P
soit,soit,82
par,par,81
hasard,hasard,21
",",",",p
soit,soit,82
par,par,81
l',le,71
effet,effet,21
de,de,81
ma,mon,73
forte,fort,30
préoccupation,préoccupation,22
",",",",p
je,je,51
tombai,tomber,19
comme,comme,83
foudroyé,foudroyé,31
",",",",p
à,à,81
la,le,71
même,même,75
heure,heure,22
que,que,83
la,le,71
veille,veille,22
/.,/.,P
on,on,51
me,je,51
mit,mettre,19
sur,sur,81
un,un,71
lit,lit,21
",",",",p
et,et,82
pendant,pendant,81
longtemps,longtemps,60
",",",",p
je,je,51
perdis,perdre,19
le,le,71
sens,sens,21
et,et,82
la,le,71
liaison,liaison,22
des,de,81
des,le,71
images,image,22
qui,qui,52
s',se,51
offrirent,offrir,19
à,à,81
moi,moi,51
/.,/.,P
cet,ce,74
état,état,21
dura,durer,19
plusieurs,plusieurs,75
jours,jour,21
/.,/.,P
je,je,51
fus,être,19
transporté,transporter,12
dans,dans,81
une,un,71
maison,maison,22
de,de,81
santé,santé,22
/.,/.,P
beaucoup,beaucoup,60
de,de,81
parents,parent,21
et,et,82
d',de,81
amis,ami,21
me,je,51
visitèrent,visiter,19
sans,sans,81
que,que,83
j',je,51
en,en,52
eusse,avoir,18
la,le,71
connaissance,connaissance,22
/.,/.,P
la,le,71
seule,seul,30
différence,différence,22
pour,pour,81
moi,moi,51
de,de,81
la,le,71
veille,veille,22
au,à,81
au,le,71
sommeil,sommeil,21
était,être,18
que,que,83
",",",",p
dans,dans,81
la,le,71
première,premier,72
",",",",p
tout,tout,52
se,se,51
transfigurait,transfigurer,18
à,à,81
mes,mon,73
yeux,oeil,21
;,;,p
chaque,chaque,75
personne,personne,22
qui,qui,52
m',je,51
approchait,approcher,18
semblait,sembler,18
changée,changé,31
",",",",p
les,le,71
objets,objet,21
matériels,matériel,30
avaient,avoir,18
comme,comme,83
une,un,71
pénombre,pénombre,22
qui,qui,52
en,en,52
modifiait,modifier,18
la,le,71
forme,forme,22
",",",",p
et,et,82
les,le,71
jeux,jeu,21
de,de,81
la,le,71
lumière,lumière,22
",",",",p
les,le,71
combinaisons,combinaison,22
de,de,81
couleurs,couleur,22
se,se,51
décomposaient,décomposer,18
",",",",p
de,de,81
manière,manière,22
à,à,81
m',je,51
entretenir,entretenir,14
dans,dans,81
une,un,71
série,série,22
constante,constant,30
d',de,81
impressions,impression,22
qui,qui,52
se,se,51
liaient,lier,18
entre,entre,81
elles,ils,51
",",",",p
et,et,82
dont,dont,52
le,le,71
rêve,rêve,21
",",",",p
plus,plus,60
dégagé,dégagé,31
des,de,81
des,le,71
éléments,élément,21
extérieurs,extérieur,30
",",",",p
continuait,continuer,18
la,le,71
probabilité,probabilité,22
/.,/.,P
<Page 15  Partie 1 Chapitre 4>,<>,<>
un,un,71
soir,soir,21
",",",",p
je,je,51
crus,croire,19
avec,avec,81
certitude,certitude,22
être,être,14
transporté,transporter,12
sur,sur,81
les,le,71
bords,bord,21
du,de,81
du,le,71
Rhin,Rhin,20
/.,/.,P
en,en,81
face,face,22
de,de,81
moi,moi,51
se,se,51
trouvaient,trouver,18
des,de,81
des,le,71
rocs,roc,21
sinistres,sinistre,30
dont,dont,52
la,le,71
perspective,perspective,22
s',se,51
ébauchait,ébaucher,18
dans,dans,81
l',le,71
ombre,ombre,22
/.,/.,P
j',je,51
entrai,entrer,19
dans,dans,81
une,un,71
maison,maison,22
riante,riant,30
",",",",p
dont,dont,52
un,un,71
rayon,rayon,21
de,de,81
soleil,soleil,21
couchant,couchant,30
traversait,traverser,18
gaiement,gaiement,60
les,le,71
contrevents,contrevent,21
verts,vert,30
que,que,52
festonnait,festonner,18
la,le,71
vigne,vigne,22
/.,/.,P
il,il,51
me,je,51
semblait,sembler,18
que,que,83
je,je,51
rentrais,rentrer,18
dans,dans,81
une,un,71
demeure,demeure,22
connue,connu,31
",",",",p
celle,celui,52
d',de,81
un,un,71
oncle,oncle,21
maternel,maternel,30
",",",",p
peintre,peintre,21
flamand,flamand,30
",",",",p
mort,mort,31
depuis,depuis,81
plus,plus,60
d',de,81
un,un,71
siècle,siècle,21
/.,/.,P
les,le,71
tableaux,tableau,21
ébauchés,ébauché,31
étaient,être,18
suspendus,suspendre,12
ça,ça,52
et,et,82
là,là,60
;,;,p
l',le,71
un,un,52
d',de,81
eux,ils,51
représentait,représenter,18
la,le,71
fée,fée,22
célèbre,célèbre,30
de,de,81
ce,ce,74
rivage,rivage,21
/.,/.,P
une,un,71
vieille,vieux,30
servante,servante,22
",",",",p
que,que,52
j',je,51
appelais,appeler,18
Marguerite,Marguerite,20
et,et,82
qu',que,52
il,il,51
me,je,51
semblait,sembler,18
connaître,connaître,14
depuis,depuis,81
l',le,71
enfance,enfance,22
",",",",p
me,je,51
dit,dire,19
:,:,p
“,“,p
n',ne,60
allez,aller,17
vous,vous,51
pas,pas,60
vous,vous,51
mettre,mettre,14
au,à,81
au,le,71
lit,lit,21
?,?,p
car,car,82
vous,vous,51
venez,venir,17
de,de,81
loin,loin,60
",",",",p
et,et,82
votre,votre,73
oncle,oncle,21
rentrera,rentrer,15
tard,tard,60
;,;,p
on,on,51
vous,vous,51
réveillera,réveiller,15
pour,pour,81
souper,souper,14
/.,/.,P
“,“,p
je,je,51
m',je,51
étendis,étendre,19
sur,sur,81
un,un,71
lit,lit,21
à,à,81
colonnes,colonne,22
drapé,drapé,31
de,de,81
Perse,Perse,20
à,à,81
grandes,grand,30
fleurs,fleur,22
rouges,rouge,30
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
en,en,81
face,face,22
de,de,81
moi,moi,51
une,un,71
horloge,horloge,22
rustique,rustique,30
accrochée,accroché,31
au,à,81
au,le,71
mur,mur,21
",",",",p
et,et,82
sur,sur,81
cette,ce,74
horloge,horloge,22
un,un,71
oiseau,oiseau,21
qui,qui,52
se,se,51
mit,mettre,19
à,à,81
parler,parler,14
comme,comme,83
une,un,71
personne,personne,22
/.,/.,P
et,et,82
j',je,51
avais,avoir,18
l',le,71
idée,idée,22
que,que,52
l',le,71
âme,âme,22
de,de,81
mon,mon,73
aïeul,aïeul,21
était,être,18
dans,dans,81
cet,ce,74
oiseau,oiseau,21
;,;,p
mais,mais,82
je,je,51
ne,ne,60
m',je,51
étonnais,étonner,18
pas,pas,60
plus,plus,60
de,de,81
son,son,73
langage,langage,21
et,et,82
de,de,81
sa,son,73
forme,forme,22
que,que,83
de,de,81
me,je,51
voir,voir,14
comme,comme,83
transporté,transporté,31
d',de,81
un,un,71
siècle,siècle,21
en,en,81
arrière,arrière,21
/.,/.,P
l',le,71
oiseau,oiseau,21
me,je,51
parlait,parler,18
de,de,81
personnes,personne,22
de,de,81
ma,mon,73
famille,famille,22
vivantes,vivant,30
ou,ou,82
mortes,mort,31
en,en,81
divers,divers,30
temps,temps,21
",",",",p
comme,comme,83
si,si,83
elles,ils,51
existaient,exister,18
simultanément,simultanément,60
",",",",p
et,et,82
me,je,51
dit,dire,19
:,:,p
“,“,p
vous,vous,51
voyez,voir,17
que,que,83
votre,votre,73
oncle,oncle,21
avait,avoir,18
eu,avoir,12
soin,soin,21
de,de,81
faire,faire,14
son,son,73
portrait,portrait,21
d',de,81
avance,avance,22
",",",",p
maintenant,maintenant,60
",",",",p
elle,il,51
est,être,17
avec,avec,81
nous,nous,51
/.,/.,P
“,“,p
je,je,51
portais,porter,18
les,le,71
yeux,oeil,21
sur,sur,81
une,un,71
toile,toile,22
qui,qui,52
représentait,représenter,18
une,un,71
femme,femme,22
en,en,81
costume,costume,21
ancien,ancien,30
à,à,81
l',le,71
allemande,allemand,22
",",",",p
penchée,penché,31
sur,sur,81
le,le,71
bord,bord,21
du,de,81
du,le,71
fleuve,fleuve,21
",",",",p
et,et,82
les,le,71
yeux,oeil,21
attirés,attiré,31
vers,vers,81
une,un,71
touffe,touffe,22
de,de,81
myosotis,myosotis,21
/.,/.,P
-,-,p
cependant,cependant,82
la,le,71
nuit,nuit,22
s',se,51
épaississait,épaissir,18
peu,peu,60
à,à,81
peu,peu,60
",",",",p
et,et,82
les,le,71
aspects,aspect,21
",",",",p
les,le,71
sons,son,21
",",",",p
le,le,71
sentiment,sentiment,21
des,de,81
des,le,71
lieux,lieu,21
se,se,51
confondaient,confondre,18
dans,dans,81
mon,mon,73
esprit,esprit,21
somnolent,somnolent,30
;,;,p
je,je,51
crus,croire,19
tomber,tomber,14
dans,dans,81
un,un,71
abîme,abîme,21
qui,qui,52
traversait,traverser,18
le,le,71
globe,globe,21
/.,/.,P
je,je,51
me,je,51
sentais,sentir,18
emporté,emporté,31
sans,sans,81
souffrance,souffrance,22
par,par,81
un,un,71
courant,courant,21
de,de,81
métal,métal,21
fondu,fondu,31
",",",",p
et,et,82
mille,mille,72
