11635
<Corpus Saint-Jean (Dominique Labbé et Jacques Savoy 2017) - Huitième extrait>,<>,<>
effet,effet,21
",",",",p
d',de,81
Aigurande,Aigurande,20
acheta,acheter,19
des,de,81
des,le,71
meubles,meuble,21
façonnés,façonné,31
en,en,81
rond,rond,21
",",",",p
des,de,81
des,le,71
consoles,console,22
évidées,évidé,31
par derrière,par-derrière,60
",",",",p
faisant,faire,13
le,le,71
cercle,cercle,21
",",",",p
des,de,81
des,le,71
supports,support,21
de,de,81
rideaux,rideau,21
en,en,81
forme,forme,22
d',de,81
arc,arc,21
",",",",p
des,de,81
des,le,71
tapis,tapis,21
taillés,taillé,31
en,en,81
croissants,croissant,21
",",",",p
tout,tout,75
un,un,71
mobilier,mobilier,21
fabriqué,fabriqué,31
sur,sur,81
commande,commande,22
/.,/.,P
il,il,51
dépensa,dépenser,19
le,le,71
double,double,21
des,de,81
des,le,71
autres,autre,52
",",",",p
puis,puis,60
",",",",p
quand,quand,83
sa,son,73
femme,femme,22
",",",",p
à,à,81
court,court,60
d',de,81
argent,argent,21
pour,pour,81
ses,son,73
toilettes,toilette,22
",",",",p
se,se,51
lassa,lasser,19
d',de,81
habiter,habiter,14
cette,ce,74
rotonde,rotonde,22
et,et,82
s',se,51
en,en,52
fut,être,19
occuper,occuper,14
un,un,71
appartement,appartement,21
carré,carré,31
",",",",p
moins,moins,60
cher,cher,30
",",",",p
aucun,aucun,75
meuble,meuble,21
ne,ne,60
put,pouvoir,19
ni,ni,82
cadrer,cadrer,14
ni,ni,82
tenir,tenir,14
/.,/.,P
peu,peu,60
à,à,81
peu,peu,60
",",",",p
cet,ce,74
encombrant,encombrant,30
mobilier,mobilier,21
devint,devenir,19
une,un,71
source,source,22
d',de,81
interminables,interminable,30
ennuis,ennui,21
;,;,p
l',le,71
entente,entente,22
",",",",p
déjà,déjà,60
fêlée,fêlé,31
par,par,81
une,un,71
vie,vie,22
commune,commun,30
",",",",p
s',se,51
effrita,effriter,19
de,de,81
semaine,semaine,22
en,en,81
semaine,semaine,22
;,;,p
ils,ils,51
s',se,51
indignèrent,indigner,19
",",",",p
se,se,51
reprochant,reprocher,13
mutuellement,mutuellement,60
de,de,81
ne,ne,60
pouvoir,pouvoir,14
demeurer,demeurer,14
dans,dans,81
ce,ce,74
salon,salon,21
où,où,60
les,le,71
canapés,canapé,21
et,et,82
les,le,71
consoles,console,22
ne,ne,60
touchaient,toucher,18
pas,pas,60
aux,à,81
aux,le,71
murs,mur,21
et,et,82
branlaient,branler,18
aussitôt,aussitôt,60
qu',que,83
on,on,51
les,le,52
frôlait,frôler,18
",",",",p
malgré,malgré,81
leurs,leur,73
cales,cale,22
/.,/.,P
les,le,71
fonds,fonds,21
manquèrent,manquer,19
pour,pour,81
des,de,81
des,le,71
réparations,réparation,22
du,de,81
du,le,71
reste,reste,21
presque,presque,60
impossibles,impossible,30
/.,/.,P
tout,tout,52
devint,devenir,19
sujet,sujet,21
à,à,81
aigreurs,aigreur,22
et,et,82
à,à,81
querelles,querelle,22
",",",",p
tout,tout,52
depuis,depuis,81
les,le,71
tiroirs,tiroir,21
qui,qui,52
avaient,avoir,18
joué,jouer,12
dans,dans,81
les,le,71
meubles,meuble,21
mal,mal,60
d',de,81
aplomb,aplomb,21
jusqu',jusque,81
aux,à,81
aux,le,71
larcins,larcin,21
de,de,81
la,le,71
bonne,bonne,22
qui,qui,52
profitait,profiter,18
de,de,81
l',le,71
inattention,inattention,22
des,de,81
des,le,71
disputes,dispute,22
pour,pour,81
piller,piller,14
la,le,71
caisse,caisse,22
;,;,p
bref,bref,60
",",",",p
la,le,71
vie,vie,22
leur,leur,52
fut,être,19
insupportable,insupportable,30
;,;,p
lui,lui,51
",",",",p
s',se,51
égaya,égayer,19
au dehors,au-dehors,60
;,;,p
elle,il,51
",",",",p
quêta,quêter,19
",",",",p
parmi,parmi,81
les,le,71
expédients,expédient,21
de,de,81
l',le,71
adultère,adultère,21
",",",",p
l',le,71
oubli,oubli,21
de,de,81
sa,son,73
vie,vie,22
pluvieuse,pluvieux,30
et,et,82
plate,plat,30
/.,/.,P
d',de,81
un,un,71
commun,commun,30
avis,avis,21
",",",",p
ils,ils,51
résilièrent,résilier,19
leur,leur,73
bail,bail,21
et,et,82
requirent,requérir,19
la,le,71
séparation,séparation,22
de,de,81
corps,corps,21
/.,/.,P
-,-,p
mon,mon,73
plan,plan,21
de,de,81
bataille,bataille,22
était,être,18
exact,exact,30
",",",",p
s',se,51
était,être,18
alors,alors,60
dit,dire,12
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
qui,qui,52
éprouva,éprouver,19
cette,ce,74
satisfaction,satisfaction,22
des,de,81
des,le,71
stratégistes,stratégiste,21
dont,dont,52
les,le,71
manoeuvres,manoeuvre,22
",",",",p
prévues,prévu,31
de,de,81
loin,loin,60
",",",",p
réussissent,réussir,17
/.,/.,P
et,et,82
songeant,songer,13
actuellement,actuellement,60
",",",",p
devant,devant,81
son,son,73
feu,feu,21
",",",",p
au,à,81
au,le,71
bris,bris,21
de,de,81
ce,ce,74
ménage,ménage,21
qu',que,52
il,il,51
avait,avoir,18
aidé,aider,12
",",",",p
par,par,81
ses,son,73
bons,bon,30
conseils,conseil,21
",",",",p
à,à,81
s',se,51
unir,unir,14
",",",",p
il,il,51
jeta,jeter,19
une,un,71
nouvelle,nouveau,30
brassée,brassée,22
de,de,81
bois,bois,21
",",",",p
dans,dans,81
la,le,71
cheminée,cheminée,22
",",",",p
et,et,82
il,il,51
repartit,repartir,19
à,à,81
toute,tout,75
volée,volée,22
dans,dans,81
ses,son,73
rêves,rêve,21
/.,/.,P
appartenant,appartenir,13
au,à,81
au,le,71
même,même,75
ordre,ordre,21
d',de,81
idées,idée,22
",",",",p
d',de,81
autres,autre,75
souvenirs,souvenir,21
se,se,51
pressaient,presser,18
maintenant,maintenant,60
/.,/.,P
il,il,51
y,y,52
avait,avoir,18
de,de,81
cela,cela,52
quelques,quelque,75
années,année,22
",",",",p
il,il,51
s',se,51
était,être,18
croisé,croiser,12
",",",",p
rue,rue,22
de,de,81
Rivoli,Rivoli,20
",",",",p
un,un,71
soir,soir,21
",",",",p
avec,avec,81
un,un,71
galopin,galopin,21
d',de,81
environ,environ,60
seize,seize,72
ans,an,21
",",",",p
un,un,71
enfant,enfant,21
pâlot,pâlot,30
et,et,82
futé,futé,30
",",",",p
tentant,tentant,30
de,de,81
même,même,60
qu',que,83
une,un,71
fille,fille,22
/.,/.,P
il,il,51
suçait,sucer,18
péniblement,péniblement,60
une,un,71
cigarette,cigarette,22
dont,dont,52
le,le,71
papier,papier,21
crevait,crever,18
",",",",p
percé,percé,31
par,par,81
les,le,71
bûches,bûche,22
pointues,pointu,30
du,de,81
du,le,71
caporal,caporal,21
/.,/.,P
tout,tout,60
en,en,81
pestant,pester,13
",",",",p
il,il,51
frottait,frotter,18
sur,sur,81
sa,son,73
cuisse,cuisse,22
des,de,81
des,le,71
allumettes,allumette,22
de,de,81
cuisine,cuisine,22
qui,qui,52
ne,ne,60
partaient,partir,18
point,point,60
;,;,p
il,il,51
les,le,52
usa,user,19
toutes,tout,52
/.,/.,P
apercevant,apercevoir,13
alors,alors,60
des,de,81
des,le,71
Esseintes,Esseintes,20
qui,qui,52
l',le,52
observait,observer,18
",",",",p
il,il,51
s',se,51
approcha,approcher,19
",",",",p
la,le,71
main,main,22
sur,sur,81
la,le,71
visière,visière,22
de,de,81
sa,son,73
casquette,casquette,22
et,et,82
lui,lui,51
demanda,demander,19
poliment,poliment,60
du,de,81
du,le,71
feu,feu,21
/.,/.,P
des,de,81
des,le,71
Esseintes,Esseintes,20
lui,lui,51
offrit,offrir,19
d',de,81
aromatiques,aromatique,30
cigarettes,cigarette,22
de,de,81
dubèque,dubèque,21
",",",",p
puis,puis,60
il,il,51
entama,entamer,19
la,le,71
conversation,conversation,22
et,et,82
incita,inciter,19
l',le,71
enfant,enfant,21
à,à,81
lui,lui,51
conter,conter,14
son,son,73
histoire,histoire,22
/.,/.,P
elle,il,51
était,être,18
des,de,81
des,le,71
plus,plus,60
simples,simple,30
",",",",p
il,il,51
s',se,51
appelait,appeler,18
Auguste,Auguste,20
Langlois,Langlois,20
",",",",p
travaillait,travailler,18
chez,chez,81
un,un,71
cartonnier,cartonnier,21
",",",",p
avait,avoir,18
perdu,perdre,12
sa,son,73
mère,mère,22
et,et,82
possédait,posséder,18
un,un,71
père,père,21
qui,qui,52
le,le,52
battait,battre,18
comme,comme,83
plâtre,plâtre,21
/.,/.,P
des,de,81
des,le,71
Esseintes,Esseintes,20
l',le,52
écoutait,écouter,18
pensif,pensif,30
:,:,p
-,-,p
viens,venir,17
boire,boire,14
dit,dire,19
il,il,51
/.,/.,P
et,et,82
il,il,51
l',le,52
emmena,emmener,19
dans,dans,81
un,un,71
café,café,21
où,où,60
il,il,51
lui,lui,51
fit,faire,19
servir,servir,14
de,de,81
violents,violent,30
punchs,punch,21
/.,/.,P
-,-,p
l',le,71
enfant,enfant,21
buvait,boire,18
",",",",p
sans,sans,81
dire,dire,14
mot,mot,21
/.,/.,P
-,-,p
voyons,voir,17
",",",",p
fit,faire,19
tout,tout,60
à,à,81
coup,coup,21
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
veux,vouloir,17
tu,tu,51
t',tu,51
amuser,amuser,14
",",",",p
ce,ce,74
soir,soir,21
?,?,p
c',ce,52
est,être,17
moi,moi,51
qui,qui,52
paye,payer,17
/.,/.,P
et,et,82
il,il,51
avait,avoir,18
emmené,emmener,12
le,le,71
petit,petit,21
chez,chez,81
madame,madame,22
Laure,Laure,20
",",",",p
une,un,71
dame,dame,22
qui,qui,52
tenait,tenir,18
",",",",p
rue,rue,22
Mosnier,Mosnier,20
",",",",p
au,à,81
au,le,71
troisième,troisième,72
",",",",p
un,un,71
assortiment,assortiment,21
de,de,81
fleuristes,fleuriste,22
",",",",p
dans,dans,81
une,un,71
série,série,22
de,de,81
pièces,pièce,22
rouges,rouge,30
",",",",p
ornées,orné,31
de,de,81
glaces,glace,22
rondes,rond,30
",",",",p
meublées,meublé,31
de,de,81
canapés,canapé,21
et,et,82
de,de,81
cuvettes,cuvette,22
/.,/.,P
là,là,60
",",",",p
très,très,60
ébahi,ébahi,31
",",",",p
Auguste,Auguste,20
avait,avoir,18
regardé,regarder,12
",",",",p
en,en,81
pétrissant,pétrir,13
le,le,71
drap,drap,21
de,de,81
sa,son,73
casquette,casquette,22
",",",",p
un,un,71
bataillon,bataillon,21
de,de,81
femmes,femme,22
dont,dont,52
les,le,71
bouches,bouche,22
peintes,peint,31
s',se,51
ouvrirent,ouvrir,19
toutes,tout,52
ensemble,ensemble,60
:,:,p
-,-,p
ah,ah,93
!,!,p
le,le,71
môme,môme,21
/!,/!,P
tiens,tenir,17
",",",",p
il,il,51
est,être,17
gentil,gentil,30
/!,/!,P
mais,mais,82
",",",",p
dis,dire,17
donc,donc,82
",",",",p
mon,mon,73
petit,petit,21
",",",",p
tu,tu,51
n',ne,60
as,avoir,17
pas,pas,60
l',le,71
âge,âge,21
",",",",p
avait,avoir,18
ajouté,ajouter,12
une,un,71
grande,grand,30
brune,brune,22
",",",",p
aux,à,81
aux,le,71
yeux,oeil,21
à,à,81
fleur,fleur,22
de,de,81
tête,tête,22
",",",",p
au,à,81
au,le,71
nez,nez,21
busqué,busqué,30
",",",",p
qui,qui,52
remplissait,remplir,18
chez,chez,81
madame,madame,22
Laure,Laure,20
l',le,71
indispensable,indispensable,30
rôle,rôle,21
de,de,81
la,le,71
belle,beau,30
juive,juive,22
/.,/.,P
installé,installé,31
",",",",p
presque,presque,60
chez,chez,81
lui,lui,51
",",",",p
des,de,81
des,le,71
Esseintes,Esseintes,20
causait,causer,18
avec,avec,81
la,le,71
patronne,patronne,22
",",",",p
à,à,81
voix,voix,22
basse,bas,30
/.,/.,P
-,-,p
n',ne,60
aie,avoir,17
donc,donc,82
pas,pas,60
peur,peur,22
",",",",p
bêta,bêta,30
",",",",p
reprit,reprendre,19
il,il,51
",",",",p
s',se,51
adressant,adresser,13
à,à,81
l',le,71
enfant,enfant,21
/.,/.,P
allons,aller,17
",",",",p
fais,faire,17
ton,ton,73
choix,choix,21
",",",",p
je,je,51
régale,régaler,17
/.,/.,P
et,et,82
il,il,51
poussa,pousser,19
doucement,doucement,60
le,le,71
gamin,gamin,21
qui,qui,52
tomba,tomber,19
sur,sur,81
un,un,71
divan,divan,21
",",",",p
entre,entre,81
deux,deux,72
femmes,femme,22
/.,/.,P
elles,ils,51
se,se,51
serrèrent,serrer,19
un,un,71
peu,peu,60
",",",",p
sur,sur,81
un,un,71
signe,signe,21
de,de,81
madame,madame,22
",",",",p
enveloppant,envelopper,13
les,le,71
genoux,genou,21
d',de,81
Auguste,Auguste,20
",",",",p
avec,avec,81
leurs,leur,73
peignoirs,peignoir,21
",",",",p
lui,lui,51
mettant,mettre,13
sous,sous,81
le,le,71
nez,nez,21
leurs,leur,73
épaules,épaule,22
poudrées,poudré,31
d',de,81
un,un,71
givre,givre,21
entêtant,entêtant,30
et,et,82
tiède,tiède,30
",",",",p
et,et,82
il,il,51
ne,ne,60
bougeait,bouger,18
plus,plus,60
",",",",p
le,le,71
sang,sang,21
aux,à,81
aux,le,71
joues,joue,22
",",",",p
la,le,71
bouche,bouche,22
rêche,rêche,30
",",",",p
les,le,71
yeux,oeil,21
baissés,baissé,31
",",",",p
hasardant,hasarder,13
",",",",p
en-dessous,en-dessous,60
",",",",p
des,de,81
des,le,71
regards,regard,21
curieux,curieux,30
qui,qui,52
s',se,51
attachaient,attacher,18
obstinément,obstinément,60
au,à,81
au,le,71
haut,haut,21
des,de,81
des,le,71
jambes,jambe,22
/.,/.,P
Vanda,Vanda,20
",",",",p
la,le,71
belle,beau,30
Juive,Juif,20
",",",",p
l',le,52
embrassa,embrasser,19
",",",",p
lui,lui,51
donnant,donner,13
de,de,81
bons,bon,30
conseils,conseil,21
",",",",p
lui,lui,51
recommandant,recommander,13
d',de,81
obéir,obéir,14
à,à,81
ses,son,73
père,père,21
et,et,82
mère,mère,22
",",",",p
et,et,82
ses,son,73
mains,main,22
erraient,errer,18
",",",",p
en,en,81
même,même,75
temps,temps,21
",",",",p
avec,avec,81
lenteur,lenteur,22
",",",",p
sur,sur,81
l',le,71
enfant,enfant,21
dont,dont,52
la,le,71
figure,figure,22
changée,changé,31
se,se,51
pâmait,pâmer,18
sur,sur,81
son,son,73
cou,cou,21
",",",",p
à,à,81
la,le,71
renverse,renverse,22
/.,/.,P
-,-,p
alors,alors,60
ce,ce,52
n',ne,60
est,être,17
pas,pas,60
pour,pour,81
ton,ton,73
compte,compte,21
que,que,83
tu,tu,51
viens,venir,17
",",",",p
ce,ce,74
soir,soir,21
",",",",p
dit,dire,19
à,à,81
des,de,81
des,le,71
Esseintes,Esseintes,20
madame,madame,22
Laure,Laure,20
/.,/.,P
mais,mais,82
où,où,60
diable,diable,21
as,avoir,17
tu,tu,51
levé,lever,12
ce,ce,74
bambin,bambin,21
?,?,p
reprit,reprendre,19
elle,il,51
",",",",p
quand,quand,83
Auguste,Auguste,20
eut,avoir,19
disparu,disparaître,12
",",",",p
emmené,emmener,12
par,par,81
la,le,71
belle,beau,30
juive,juif,22
/.,/.,P
-,-,p
dans,dans,81
la,le,71
rue,rue,22
",",",",p
ma,mon,73
chère,cher,30
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
es,être,17
pourtant,pourtant,60
pas,pas,60
gris,gris,30
",",",",p
murmura,murmurer,19
la,le,71
vieille,vieux,30
dame,dame,22
/.,/.,P
puis,puis,60
",",",",p
après,après,81
réflexion,réflexion,22
",",",",p
elle,il,51
ajouta,ajouter,19
",",",",p
avec,avec,81
un,un,71
sourire,sourire,21
maternel,maternel,30
:,:,p
-,-,p
je,je,51
comprends,comprendre,17
;,;,p
mâtin,mâtin,21
",",",",p
dis,dire,17
donc,donc,82
",",",",p
il,il,51
te,tu,51
les,le,52
faut,falloir,17
jeunes,jeune,30
",",",",p
à,à,81
toi,toi,51
/!,/!,P
des,de,81
des,le,71
Esseintes,Esseintes,20
haussa,hausser,19
les,le,71
épaules,épaule,22
/.,/.,P
-,-,p
tu,tu,51
n',ne,60
y,y,52
es,être,17
pas,pas,60
;,;,p
oh,oh,93
!,!,p
mais,mais,82
pas,pas,60
du,de,81
du,le,71
tout,tout,21
",",",",p
fit,faire,19
il,il,51
;,;,p
la,le,71
vérité,vérité,22
c',ce,52
est,être,17
que,que,83
je,je,51
tâche,tâcher,17
simplement,simplement,60
de,de,81
préparer,préparer,14
un,un,71
assassin,assassin,21
/.,/.,P
suis,suivre,17
bien,bien,60
",",",",p
en,en,81
effet,effet,21
",",",",p
mon,mon,73
raisonnement,raisonnement,21
/.,/.,P
ce,ce,74
garçon,garçon,21
est,être,17
vierge,vierge,30
et,et,82
a,avoir,17
atteint,atteindre,12
l',le,71
âge,âge,21
où,où,60
le,le,71
sang,sang,21
bouillonne,bouillonner,17
;,;,p
il,il,51
pourrait,pouvoir,16
courir,courir,14
après,après,81
les,le,71
fillettes,fillette,22
de,de,81
son,son,73
quartier,quartier,21
",",",",p
demeurer,demeurer,14
honnête,honnête,30
",",",",p
tout,tout,60
en,en,81
s',se,51
amusant,amuser,13
",",",",p
avoir,avoir,14
",",",",p
en,en,81
somme,somme,22
",",",",p
sa,son,73
petite,petit,30
part,part,22
du,de,81
du,le,71
monotone,monotone,30
bonheur,bonheur,21
réservé,réservé,31
aux,à,81
aux,le,71
pauvres,pauvre,21
/.,/.,P
au,à,81
au,le,71
contraire,contraire,21
",",",",p
en,en,81
l',le,52
amenant,amener,13
ici,ici,60
",",",",p
au,à,81
au,le,71
milieu,milieu,21
d',de,81
un,un,71
luxe,luxe,21
qu',que,52
il,il,51
ne,ne,60
soupçonnait,soupçonner,18
même,même,60
pas,pas,60
et,et,82
qui,qui,52
se,se,51
gravera,graver,15
forcément,forcément,60
dans,dans,81
sa,son,73
mémoire,mémoire,22
;,;,p
en,en,81
lui,lui,51
offrant,offrir,13
",",",",p
tous,tout,75
les,le,71
quinze,quinze,72
jours,jour,21
",",",",p
une,un,71
telle,tel,75
aubaine,aubaine,22
",",",",p
il,il,51
prendra,prendre,15
l',le,71
habitude,habitude,22
de,de,81
ces,ce,74
jouissances,jouissance,22
que,que,52
ses,son,73
moyens,moyen,21
lui,lui,51
interdisent,interdire,17
;,;,p
admettons,admettre,17
qu',que,83
il,il,51
faille,falloir,17
trois,trois,72
mois,mois,21
pour,pour,81
qu',que,83
elles,ils,51
lui,lui,51
soient,être,17
devenues,devenir,12
absolument,absolument,60
nécessaires,nécessaire,30
-,-,p
et,et,82
",",",",p
en,en,81
les,le,52
espaçant,espacer,13
comme,comme,83
je,je,51
le,le,52
fais,faire,17
",",",",p
je,je,51
ne,ne,60
risque,risquer,17
pas,pas,60
de,de,81
le,le,52
rassasier,rassasier,14
;,;,p
-,-,p
eh,eh,93
bien,bien,60
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
ces,ce,74
trois,trois,72
mois,mois,21
",",",",p
je,je,51
supprime,supprimer,17
la,le,71
petite,petit,30
rente,rente,22
que,que,52
je,je,51
vais,aller,17
te,tu,51
verser,verser,14
d',de,81
avance,avance,22
pour,pour,81
cette,ce,74
bonne,bon,30
action,action,22
",",",",p
et,et,82
alors,alors,60
il,il,51
volera,voler,15
",",",",p
afin,afin,81
de,de,81
séjourner,séjourner,14
ici,ici,60
;,;,p
il,il,51
fera,faire,15
les,le,71
cent,cent,72
dix,dix,72
neuf,neuf,72
coups,coup,21
",",",",p
pour,pour,81
se,se,51
rouler,rouler,14
sur,sur,81
ce,ce,74
divan,divan,21
et,et,82
sous,sous,81
ce,ce,74
gaz,gaz,21
/!,/!,P
en,en,81
poussant,pousser,13
les,le,71
choses,chose,22
à,à,81
l',le,71
extrême,extrême,21
",",",",p
il,il,51
tuera,tuer,15
",",",",p
je,je,51
l',le,52
espère,espérer,17
",",",",p
le,le,71
monsieur,monsieur,21
qui,qui,52
apparaîtra,apparaître,15
mal,mal,60
à,à,81
propos,propos,21
tandis qu',tandis que,83
il,il,51
tentera,tenter,15
de,de,81
forcer,forcer,14
son,son,73
secrétaire,secrétaire,21
:,:,p
-,-,p
alors,alors,60
",",",",p
mon,mon,73
but,but,21
sera,être,15
atteint,atteindre,12
",",",",p
j',je,51
aurai,avoir,15
contribué,contribuer,12
",",",",p
dans,dans,81
la,le,71
mesure,mesure,22
de,de,81
mes,mon,73
ressources,ressource,22
",",",",p
à,à,81
créer,créer,14
un,un,71
gredin,gredin,21
",",",",p
un,un,71
ennemi,ennemi,21
de,de,81
plus,plus,60
pour,pour,81
cette,ce,74
hideuse,hideux,30
société,société,22
qui,qui,52
nous,nous,51
rançonne,rançonner,17
/.,/.,P
les,le,71
femmes,femme,22
ouvrirent,ouvrir,19
de,de,81
grands,grand,30
yeux,oeil,21
/.,/.,P
-,-,p
te,tu,51
voilà,voilà,81
?,?,p
reprit,reprendre,19
il,il,51
",",",",p
voyant,voir,13
Auguste,Auguste,20
qui,qui,52
rentrait,rentrer,18
dans,dans,81
le,le,71
salon,salon,21
et,et,82
se,se,51
dérobait,dérober,18
",",",",p
rouge,rouge,30
et,et,82
penaud,penaud,30
",",",",p
derrière,derrière,81
la,le,71
belle,beau,30
juive,juive,22
/.,/.,P
-,-,p
allons,aller,17
",",",",p
gamin,gamin,21
",",",",p
il,il,51
se,se,51
fait,faire,17
tard,tard,60
",",",",p
salue,saluer,17
ces,ce,74
dames,dame,22
/.,/.,P
et,et,82
il,il,51
lui,lui,51
expliqua,expliquer,19
dans,dans,81
l',le,71
escalier,escalier,21
qu',que,83
il,il,51
pourrait,pouvoir,16
",",",",p
chaque,chaque,75
quinzaine,quinzaine,22
",",",",p
se,se,51
rendre,rendre,14
",",",",p
sans,sans,81
bourse,bourse,22
délier,délier,14
",",",",p
chez,chez,81
madame,madame,22
Laure,Laure,20
;,;,p
puis,puis,60
",",",",p
une,un,71
fois,fois,22
dans,dans,81
la,le,71
rue,rue,22
",",",",p
sur,sur,81
le,le,71
trottoir,trottoir,21
",",",",p
regardant,regarder,13
l',le,71
enfant,enfant,21
abasourdi,abasourdi,31
:,:,p
-,-,p
nous,nous,51
ne,ne,60
nous,nous,51
verrons,voir,15
plus,plus,60
",",",",p
fit,faire,19
il,il,51
;,;,p
retourne,retourner,17
au,à,81
au,le,71
plus,plus,60
vite,vite,60
chez,chez,81
ton,ton,73
père,père,21
dont,dont,52
la,le,71
main,main,22
est,être,17
inactive,inactif,30
et,et,82
le,le,52
démange,démanger,17
",",",",p
et,et,82
rappelle,rappeler,17
toi,toi,51
cette,ce,74
parole,parole,22
quasi,quasi,60
évangélique,évangélique,30
:,:,p
fais,faire,17
aux,à,81
aux,le,71
autres,autre,52
ce,ce,52
que,que,52
tu,tu,51
ne,ne,60
veux,vouloir,17
pas,pas,60
qu',que,83
ils,ils,51
te,tu,51
fassent,faire,17
;,;,p
avec,avec,81
cette,ce,74
maxime,maxime,22
tu,tu,51
iras,aller,15
loin,loin,60
/.,/.,P
-,-,p
bonsoir,bonsoir,21
/.,/.,P
-,-,p
surtout,surtout,60
ne,ne,60
sois,être,17
pas,pas,60
ingrat,ingrat,30
",",",",p
donne,donner,17
moi,moi,51
le,le,71
plus,plus,60
tôt,tôt,60
possible,possible,30
de,de,81
tes,ton,73
nouvelles,nouvelle,22
par,par,81
la,le,71
voie,voie,22
des,de,81
des,le,71
gazettes,gazette,22
judiciaires,judiciaire,30
/.,/.,P
-,-,p
le,le,71
petit,petit,30
Judas,Judas,20
!,!,p
murmurait,murmurer,18
maintenant,maintenant,60
des,de,81
des,le,71
Esseintes,Esseintes,20
",",",",p
en,en,81
tisonnant,tisonner,13
ses,son,73
braises,braise,22
;,;,p
-,-,p
dire,dire,14
que,que,83
je,je,51
n',ne,60
ai,avoir,17
jamais,jamais,60
vu,voir,12
son,son,73
nom,nom,21
figurer,figurer,14
parmi,parmi,81
les,le,71
faits,fait,21
divers,divers,30
/!,/!,P
il,il,51
est,être,17
vrai,vrai,30
qu',que,83
il,il,51
ne,ne,60
m',je,51
a,avoir,17
pas,pas,60
été,être,12
possible,possible,30
de,de,81
jouer,jouer,14
serré,serré,31
",",",",p
que,que,83
j',je,51
ai,avoir,17
pu,pouvoir,12
prévoir,prévoir,14
mais,mais,82
non,non,60
supprimer,supprimer,14
certains,certain,75
aléas,aléa,21
",",",",p
tels,tel,75
que,que,83
les,le,71
carottes,carotte,22
de,de,81
la,le,71
mère,mère,22
Laure,Laure,20
",",",",p
empochant,empocher,13
l',le,71
argent,argent,21
sans,sans,81
échange,échange,21
de,de,81
marchandise,marchandise,22
;,;,p
la,le,71
toquade,toquade,22
d',de,81
une,un,52
de,de,81
ces,ce,74
femmes,femme,22
pour,pour,81
Auguste,Auguste,20
qui,qui,52
a,avoir,17
peut-être,peut-être,60
consommé,consommer,12
",",",",p
au,à,81
au,le,71
bout,bout,21
de,de,81
ses,son,73
trois,trois,72
mois,mois,21
",",",",p
à,à,81
l',le,71
oeil,oeil,21
;,;,p
voire,voire,60
même,même,60
les,le,71
vices,vice,21
faisandés,faisandé,31
de,de,81
la,le,71
belle,beau,30
juive,juive,22
qui,qui,52
ont,avoir,17
pu,pouvoir,12
effrayer,effrayer,14
ce,ce,74
gamin,gamin,21
trop,trop,60
impatient,impatient,30
et,et,82
trop,trop,60
jeune,jeune,30
pour,pour,81
se,se,51
prêter,prêter,14
aux,à,81
aux,le,71
lents,lent,30
préambules,préambule,21
et,et,82
aux,à,81
aux,le,71
foudroyantes,foudroyant,30
fins,fin,22
des,de,81
des,le,71
artifices,artifice,21
/.,/.,P
à,à,81
moins,moins,60
donc,donc,82
qu',que,83
il,il,51
n',ne,60
ait,avoir,17
eu,avoir,12
des,de,81
des,le,71
démêlés,démêlé,21
avec,avec,81
la,le,71
justice,justice,22
depuis,depuis,81
qu',que,83
étant,être,13
à,à,81
Fontenay,Fontenay,20
",",",",p
je,je,51
ne,ne,60
lis,lire,17
plus,plus,60
de,de,81
feuilles,feuille,22
",",",",p
je,je,51
suis,être,17
floué,flouer,12
/.,/.,P
il,il,51
se,se,51
leva,lever,19
et,et,82
fit,faire,19
plusieurs,plusieurs,75
tours,tour,21
dans,dans,81
sa,son,73
chambre,chambre,22
/.,/.,P
-,-,p
ce,ce,52
serait,être,16
tout,tout,60
de,de,81
même,même,75
dommage,dommage,21
",",",",p
se,se,51
dit,dire,17
il,il,51
",",",",p
car,car,82
en,en,81
agissant,agir,13
de,de,81
la,le,71
sorte,sorte,22
",",",",p
j',je,51
avais,avoir,18
réalisé,réaliser,12
la,le,71
parabole,parabole,22
laïque,laïc,30
;,;,p
l',le,71
allégorie,allégorie,22
de,de,81
l',le,71
instruction,instruction,22
universelle,universel,30
qui,qui,52
",",",",p
ne,ne,60
tendant,tendre,13
à,à,81
rien,rien,52
moins,moins,60
qu',que,83
à,à,81
transmuer,transmuer,14
tous,tout,75
les,le,71
gens,gens,21
en,en,81
des,de,81
des,le,71
Langlois,Langlois,20
",",",",p
s',se,51
ingénie,ingénier,17
",",",",p
au,à,81
au,le,71
lieu,lieu,21
de,de,81
crever,crever,14
définitivement,définitivement,60
et,et,82
par,par,81
compassion,compassion,22
les,le,71
yeux,oeil,21
des,de,81
des,le,71
misérables,misérable,21
",",",",p
à,à,81
les,le,52
leur,leur,52
ouvrir,ouvrir,14
tout,tout,60
grands,grand,30
et,et,82
de,de,81
force,force,22
",",",",p
pour,pour,81
qu',que,83
ils,ils,51
aperçoivent,apercevoir,17
autour,autour,60
d',de,81
eux,ils,51
des,de,81
des,le,71
sorts,sort,21
immérités,immérité,30
et,et,82
plus,plus,60
cléments,clément,30
